District,2011,2012,2013,2014,2015
okres Bratislava I,3.53,4.15,4.93,4.99,4.81
okres Bratislava II,5.6,5.48,6.08,6.67,5.63
okres Bratislava III,4.65,5.58,5.9,5.87,5.69
okres Bratislava IV,4.36,4.66,5.71,5.49,5.14
okres Bratislava V,4.98,4.93,5.7,5.3,4.67
okres Malacky,7.43,8.69,7.22,7.43,5.94
okres Pezinok,7.1,6.98,7.81,7.41,5.63
okres Senec,6.27,6.78,6.3,6.22,5.58
okres Dunajská Streda,11.62,12.96,11.78,10.34,8.82
okres Galanta,6.52,7.2,6.75,5.43,5.05
okres Hlohovec,9.43,9.12,9.36,7.87,6.31
okres Piešťany,8.38,8.48,9.44,7.51,5.77
okres Senica,10.9,11.76,12.49,11.25,9.21
okres Skalica,8.42,8.68,8.87,8.27,6.11
okres Trnava,7.31,7.56,6.73,6.44,5.53
okres Bánovce nad Bebravou,10.03,12.27,11.59,10.24,8.13
okres Ilava,7.3,9.37,9.07,7.92,6.18
okres Myjava,8.15,8.58,8.69,7.74,6.19
okres Nové Mesto nad Váhom,7.99,8.8,8.52,7.69,6.32
okres Partizánske,12.85,14.09,13.34,11.39,9.4
okres Považská Bystrica,12.61,12.63,11.53,10.53,8.07
okres Prievidza,12.88,12.97,13.9,12.47,10.37
okres Púchov,7.25,8.31,8.2,7.15,5.69
okres Trenčín,7.72,9.13,8.79,7.82,6.22
okres Komárno,17.53,19.15,17.69,15.48,13.26
okres Levice,16,15.7,13.8,12.91,10.73
okres Nitra,9,10.37,9.48,8.64,7.32
okres Nové Zámky,14.65,15.12,12.49,10.85,10.16
okres Šaľa,11.91,11.5,9.82,8.53,7.99
okres Topoľčany,11.61,12.8,12.41,11.08,9.21
okres Zlaté Moravce,11.52,13.26,11.63,10.41,8.62
okres Bytča,15.15,16.62,15.71,14.3,11.1
okres Čadca,12.36,13.64,13.72,12.37,10.1
okres Dolný Kubín,14.74,15.46,14.21,12.65,10.79
okres Kysucké Nové Mesto,13.09,15.14,14.23,12.28,9.97
okres Liptovský Mikuláš,12.67,13.92,13.84,12.04,9.5
okres Martin,9.61,9.69,10.13,8.34,6.17
okres Námestovo,15.43,16.82,14.71,12.53,9.34
okres Ružomberok,12.27,13.35,13.92,11.87,9.98
okres Turčianske Teplice,12.73,14.22,14.18,12.6,9.29
okres Tvrdošín,13.73,14.02,13.6,11.18,8.74
okres Žilina,9.44,9.93,9.45,8.54,7.72
okres Banská Bystrica,9.56,9.82,9.22,8.9,8
okres Banská Štiavnica,19.3,18.46,18.5,17.51,16
okres Brezno,18.41,19.15,15.97,13.41,12.52
okres Detva,16.68,19.18,14.04,14.57,12.92
okres Krupina,20.49,21.22,16.55,16.95,12.18
okres Lučenec,24.28,25.59,21.56,20.08,17.53
okres Poltár,23.88,27.43,25.6,23.57,20.87
okres Revúca,30.79,32.55,29.55,26.82,19.97
okres Rimavská Sobota,34.59,35.59,31.24,29.84,27.42
okres Veľký Krtíš,24.54,25.87,23.37,22.17,18.45
okres Zvolen,10.94,11.69,10.38,10.55,9.32
okres Žarnovica,20.86,21.57,18.12,16.46,14.46
okres Žiar nad Hronom,14.58,15.34,14.61,13.34,10.86
okres Bardejov,19.89,22.35,20.39,19.6,18.43
okres Humenné,16.64,18.51,17.33,16.49,14.91
okres Kežmarok,28.66,30.06,27.81,25.59,23.44
okres Levoča,18.48,21.65,21.22,16.44,15.32
okres Medzilaborce,19.84,22.31,19.72,19.95,17.03
okres Poprad,12.33,12.62,13.9,11.01,10.07
okres Prešov,17.16,18.75,16.88,14.84,12.54
okres Sabinov,26.75,28.44,23.68,21.86,18.69
okres Snina,19.31,21.1,20.58,19.06,16.92
okres Stará Ľubovňa,14.56,16.73,14.36,13.1,11.43
okres Stropkov,18.11,21.38,17.81,17.4,14.93
okres Svidník,20.03,23.33,21.92,20.05,19.38
okres Vranov nad Topľou,22.89,24.02,23.25,21.25,17.8
okres Gelnica,20.79,24.1,21.29,17.91,16.96
okres Košice I,9.83,11.27,11.47,9.81,8.65
okres Košice II,10.79,10.97,10.35,9.39,8.65
okres Košice III,10.09,10.17,10.34,8.56,6.97
okres Košice IV,9.38,9.58,10.28,9.37,7.57
okres Košice - okolie,22.86,24.6,19.49,19.2,17.66
okres Michalovce,19.4,20.1,17.75,16.78,15.11
okres Rožňava,28.73,29.04,24.83,24.27,21.58
okres Sobrance,22.33,26.3,21.32,20.91,18.4
okres Spišská Nová Ves,18.83,19.14,15.91,15.12,14.1
okres Trebišov,26.88,26.85,22.4,20.01,18.42
