District,2015
okres Bratislava I,38988
okres Bratislava II,112054
okres Bratislava III,63081
okres Bratislava IV,94554
okres Bratislava V,111001
okres Malacky,70043
okres Pezinok,60445
okres Senec,75001
okres Dunajská Streda,118499
okres Galanta,93682
okres Hlohovec,45723
okres Piešťany,63168
okres Senica,60725
okres Skalica,46934
okres Trnava,129946
okres Bánovce nad Bebravou,36833
okres Ilava,60194
okres Myjava,27083
okres Nové Mesto nad Váhom,62531
okres Partizánske,46462
okres Považská Bystrica,63176
okres Prievidza,136554
okres Púchov,44537
okres Trenčín,113863
okres Komárno,103360
okres Levice,113511
okres Nitra,160241
okres Nové Zámky,142317
okres Šaľa,52780
okres Topoľčany,71586
okres Zlaté Moravce,41127
okres Tvrdošín,36066
okres Žilina,155989
okres Bytča,30682
okres Čadca,91124
okres Dolný Kubín,39469
okres Kysucké Nové Mesto,33158
okres Liptovský Mikuláš,72513
okres Martin,96887
okres Námestovo,60954
okres Ružomberok,57403
okres Turčianske Teplice,16204
okres Veľký Krtíš,44826
okres Zvolen,69009
okres Žarnovica,26732
okres Žiar nad Hronom,47736
okres Banská Bystrica,111018
okres Banská Štiavnica,16367
okres Brezno,62971
okres Detva,32632
okres Krupina,22636
okres Lučenec,74401
okres Poltár,22074
okres Revúca,40205
okres Rimavská Sobota,84752
okres Stará Ľubovňa,53379
okres Stropkov,20744
okres Svidník,32997
okres Vranov nad Topľou,80508
okres Bardejov,77830
okres Humenné,63614
okres Kežmarok,72570
okres Levoča,33391
okres Medzilaborce,12252
okres Poprad,104494
okres Prešov,171778
okres Sabinov,58969
okres Snina,37451
okres Spišská Nová Ves,98869
okres Trebišov,105995
okres Gelnica,31504
okres Košice I,67842
okres Košice II,82479
okres Košice III,29414
okres Košice IV,59729
okres Košice - okolie,123377
okres Michalovce,110714
okres Rožňava,62877
okres Sobrance,22765
