District,2011,2012,2013,2014,2015
okres Bratislava I,528,528,543,476,503
okres Bratislava II,1222,1239,1234,1180,1290
okres Bratislava III,742,779,791,716,778
okres Bratislava IV,790,801,821,784,791
okres Bratislava V,728,703,762,812,823
okres Malacky,669,624,637,659,684
okres Pezinok,536,521,525,562,531
okres Senec,503,552,594,541,544
okres Dunajská Streda,1151,1163,1169,1171,1181
okres Galanta,1029,1016,925,976,1051
okres Hlohovec,423,377,460,418,454
okres Piešťany,680,687,675,643,717
okres Senica,640,589,626,566,629
okres Skalica,469,440,484,463,471
okres Trnava,1120,1171,1155,1224,1260
okres Bánovce nad Bebravou,345,322,400,342,377
okres Ilava,536,586,532,602,627
okres Myjava,298,298,296,285,294
okres Nové Mesto nad Váhom,665,723,680,636,689
okres Partizánske,451,458,477,475,432
okres Považská Bystrica,593,580,609,545,604
okres Prievidza,1308,1303,1231,1295,1291
okres Púchov,458,464,408,422,424
okres Trenčín,1097,1037,1047,1054,1124
okres Komárno,1262,1213,1209,1276,1271
okres Levice,1393,1384,1345,1322,1380
okres Nitra,1536,1565,1538,1599,1650
okres Nové Zámky,1647,1714,1715,1667,1742
okres Šaľa,569,538,509,547,556
okres Topoľčany,727,808,747,784,782
okres Zlaté Moravce,440,465,480,447,441
okres Tvrdošín,238,249,261,266,294
okres Žilina,1480,1516,1547,1455,1537
okres Bytča,298,319,302,321,324
okres Čadca,933,865,929,848,854
okres Dolný Kubín,338,311,322,346,311
okres Kysucké Nové Mesto,310,305,348,336,355
okres Liptovský Mikuláš,685,758,720,670,749
okres Martin,850,890,932,879,988
okres Námestovo,397,418,370,411,421
okres Ružomberok,607,615,596,603,648
okres Turčianske Teplice,209,223,228,192,210
okres Veľký Krtíš,523,565,514,509,558
okres Zvolen,634,699,625,618,650
okres Žarnovica,280,309,312,290,350
okres Žiar nad Hronom,482,463,494,449,525
okres Banská Bystrica,1029,995,971,1016,1025
okres Banská Štiavnica,199,182,200,174,179
okres Brezno,682,749,711,678,693
okres Detva,349,384,341,338,362
okres Krupina,254,243,249,261,272
okres Lučenec,841,859,832,787,854
okres Poltár,259,244,280,278,258
okres Revúca,435,454,451,445,433
okres Rimavská Sobota,917,862,832,847,915
okres Stará Ľubovňa,379,417,399,365,421
okres Stropkov,190,210,195,184,207
okres Svidník,294,280,310,277,311
okres Vranov nad Topľou,717,687,652,672,763
okres Bardejov,606,634,675,647,643
okres Humenné,568,612,530,590,680
okres Kežmarok,551,518,531,491,500
okres Levoča,287,273,289,274,303
okres Medzilaborce,149,191,171,160,152
okres Poprad,870,841,830,833,888
okres Prešov,1303,1382,1388,1371,1439
okres Sabinov,435,448,447,465,471
okres Snina,398,370,355,394,418
okres Spišská Nová Ves,798,745,790,737,762
okres Trebišov,1158,1115,1048,1085,1148
okres Gelnica,316,314,334,301,336
okres Košice I,590,685,625,598,616
okres Košice II,591,610,611,606,628
okres Košice III,207,161,162,168,179
okres Košice IV,611,601,645,587,658
okres Košice - okolie,1043,1119,1051,1037,1061
okres Michalovce,1059,1100,1110,1050,1141
okres Rožňava,679,727,687,635,690
okres Sobrance,320,272,263,313,255
